AdId,Name,Description,CampaignId,AdType,Labels,AllowDeepLinking,MobileReady,Language,LimitedTimeStartDate,LimitedTimeEndDate,FallbackAd,GetHtmlCodeType,LandingPage,HostedBy,Creative,ThirdPartyServableAdCreativeHeight,ThirdPartyServableAdCreativeWidth,Season,TopSeller,IabAdUnit,CouponAllowCustomPromoCode,LinkText,BannerAlternativeTag,CustomisationCharge,CreativeUrl,PhoneTracking,PromoCodeTracking,Metadata,TrackingLink,DealName,DealType,DealDiscountType,DealScope,DealProducts,DealCategories,DealPromoCode,DealDiscountPercent,DealDiscountAmount,DealGift,DealRebate,DealMinimumPurchaseAmount,DealMaximumDiscountPercent,DealStartDiscountPercent,DealEndDiscountPercent,DealMaximumSavingsAmount,DealPurchaseLimitQty,DealBogoBuyQty,DealBogoBuyScope,DealBogoBuyName,DealBogoGetQty,DealBogoGetScope,DealBogoGetDiscountType,DealBogoGetDiscountPercent,DealBogoGetDiscountAmount,DealBogoGetName,DealBogoBuyImageUrl,DealBogoGetImageUrl,DealSerialVersionUID
2794472,tcgplayer-logo-wordmark-black.png,,21018,BANNER,Wordmark,true,true,ENGLISH,2025-02-24T06:30:00-08:00,,,HTML_AND_IFRAME,https://www.tcgplayer.com,IR,tcgplayer-logo-wordmark-black.png,3315,422,,false,CUSTOM,false,,,$0.00,/display-ad/2794472?version=0,false,false,,https://partner.tcgplayer.com/c/6434831/2794472/21018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794459,tcgplayer-logo-full-color-secondary-black.png,,21018,BANNER,Secondary Logo,true,true,ENGLISH,2025-02-24T06:30:00-08:00,,,HTML_AND_IFRAME,https://www.tcgplayer.com,IR,tcgplayer-logo-full-color-secondary-black.png,3334,538,,false,CUSTOM,false,,,$0.00,/display-ad/2794459?version=0,false,false,,https://partner.tcgplayer.com/c/6434831/2794459/21018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794436,tcgplayer-logo-primary-black.png,,21018,BANNER,Primary Logo,true,true,ENGLISH,2025-02-24T06:30:00-08:00,,,HTML_AND_IFRAME,https://www.tcgplayer.com,IR,tcgplayer-logo-primary-black.png,3284,1376,,false,CUSTOM,false,,,$0.00,/display-ad/2794436?version=0,false,false,,https://partner.tcgplayer.com/c/6434831/2794436/21018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794437,tcgplayer-logo-primary-monotone-black,,21018,BANNER,Primary Logo,true,true,ENGLISH,2025-02-24T06:30:00-08:00,,,HTML_AND_IFRAME,https://www.tcgplayer.com,IR,tcgplayer-logo-primary-monotone-black.png,3338,1405,,false,CUSTOM,false,,,$0.00,/display-ad/2794437?version=0,false,false,,https://partner.tcgplayer.com/c/6434831/2794437/21018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794461,tcgplayer-logo-monotone-secondary-black,,21018,BANNER,Secondary Logo,true,true,ENGLISH,2025-02-24T06:30:00-08:00,,,HTML_AND_IFRAME,https://www.tcgplayer.com,IR,tcgplayer-logo-monotone-secondary-black.png,3334,538,,false,CUSTOM,false,,,$0.00,/display-ad/2794461?version=0,false,false,,https://partner.tcgplayer.com/c/6434831/2794461/21018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794460,tcgplayer-logo-full-color-secondary-white,,21018,BANNER,Secondary Logo,true,true,ENGLISH,2025-02-24T06:30:00-08:00,,,HTML_AND_IFRAME,https://www.tcgplayer.com,IR,tcgplayer-logo-full-color-secondary-white.png,3334,538,,false,CUSTOM,false,,,$0.00,/display-ad/2794460?version=0,false,false,,https://partner.tcgplayer.com/c/6434831/2794460/21018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794439,tcgplayer-logo-primary-stroke,,21018,BANNER,Primary Logo,true,true,ENGLISH,2025-02-24T06:30:00-08:00,,,HTML_AND_IFRAME,https://www.tcgplayer.com,IR,tcgplayer-logo-primary-stroke.png,3268,1450,,false,CUSTOM,false,,,$0.00,/display-ad/2794439?version=0,false,false,,https://partner.tcgplayer.com/c/6434831/2794439/21018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794440,tcgplayer-logo-primary-white,,21018,BANNER,Primary Logo,true,true,ENGLISH,2025-02-24T06:30:00-08:00,,,HTML_AND_IFRAME,https://www.tcgplayer.com,IR,tcgplayer-logo-primary-white.png,3284,1376,,false,CUSTOM,false,,,$0.00,/display-ad/2794440?version=0,false,false,,https://partner.tcgplayer.com/c/6434831/2794440/21018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794412,tcgplayer-favicon-monochrome-blue.png,,21018,BANNER,Favicon,true,true,ENGLISH,2025-02-24T06:30:00-08:00,,,HTML_AND_IFRAME,https://www.tcgplayer.com,IR,tcgplayer-favicon-monochrome-blue.png,600,451,,false,CUSTOM,false,,,$0.00,/display-ad/2794412?version=0,false,false,,https://partner.tcgplayer.com/c/6434831/2794412/21018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794414,tcgplayer-favicon-primary,,21018,BANNER,Favicon,true,true,ENGLISH,2025-02-24T06:30:00-08:00,,,HTML_AND_IFRAME,https://www.tcgplayer.com,IR,tcgplayer-favicon-primary.png,600,451,,false,CUSTOM,false,,,$0.00,/display-ad/2794414?version=0,false,false,,https://partner.tcgplayer.com/c/6434831/2794414/21018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
